year;design;link
2001;1;https://web.archive.org/web/20010426134741/http://rateyourmusic.com:80/top_albums
2002;1;https://web.archive.org/web/20030103165749/http://rateyourmusic.com:80/top_albums
2003;1;https://web.archive.org/web/20030603163131/http://rateyourmusic.com:80/top_albums
2004;;
2005;;
2006;2;https://web.archive.org/web/20060417162319/http://rateyourmusic.com:80/top_albums
2007;;
2008;;
2009;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2010;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2011;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2012;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2013;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2014;4;https://web.archive.org/web/20140601064429/https://rateyourmusic.com/charts/top/album/all-time/
2015;4;https://web.archive.org/web/20150528191850/https://rateyourmusic.com/charts/top/album/all-time/
2016;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2017;3;https://web.archive.org/web/20221023034254/https://rateyourmusic.com/list/lex_luthor/rym-album-charts-top-albums-of-all-time-archive/
2018;4;https://web.archive.org/web/20180926053104/https://rateyourmusic.com/charts/top/album/all-time
2019;;
2020;5;https://web.archive.org/web/20201108004230/https://rateyourmusic.com/charts/top/album/all-time/
2021;5;https://web.archive.org/web/20210506031348/https://rateyourmusic.com/charts/top/album/all-time/
2022;5;https://web.archive.org/web/20221202182910/https://rateyourmusic.com/charts/top/album/all-time/
2023;6;https://web.archive.org/web/20230223160417/https://rateyourmusic.com/charts/top/album/all-time/
